participante,id_participante,jogo,fase,data,selecao_1,palpite_1,palpite_2,selecao_2,status
Adailton,adailton,1,Fase de Grupos,2026-06-11,México,2,0,África do Sul,OK
Adailton,adailton,2,Fase de Grupos,2026-06-11,Coreia do Sul,1,0,Rep. Tcheca,OK
Adailton,adailton,3,Fase de Grupos,2026-06-18,Rep. Tcheca,1,1,África do Sul,OK
Adailton,adailton,4,Fase de Grupos,2026-06-18,México,2,1,Coreia do Sul,OK
Adailton,adailton,5,Fase de Grupos,2026-06-24,Rep. Tcheca,0,1,México,OK
Adailton,adailton,6,Fase de Grupos,2026-06-24,África do Sul,0,0,Coreia do Sul,OK
Adailton,adailton,7,Fase de Grupos,2026-06-12,Canadá,1,1,Bósnia,OK
Adailton,adailton,8,Fase de Grupos,2026-06-13,Catar,0,2,Suíça,OK
Adailton,adailton,9,Fase de Grupos,2026-06-18,Suíça,0,1,Bósnia,OK
Adailton,adailton,10,Fase de Grupos,2026-06-18,Canadá,3,0,Catar,OK
Adailton,adailton,11,Fase de Grupos,2026-06-24,Suíça,2,1,Canadá,OK
Adailton,adailton,12,Fase de Grupos,2026-06-24,Bósnia,2,0,Catar,OK
Adailton,adailton,13,Fase de Grupos,2026-06-13,Brasil,2,1,Marrocos,OK
Adailton,adailton,14,Fase de Grupos,2026-06-13,Haiti,0,2,Escócia,OK
Adailton,adailton,15,Fase de Grupos,2026-06-19,Escócia,1,2,Marrocos,OK
Adailton,adailton,16,Fase de Grupos,2026-06-19,Brasil,0,2,Haiti,OK
Adailton,adailton,17,Fase de Grupos,2026-06-24,Escócia,0,2,Brasil,OK
Adailton,adailton,18,Fase de Grupos,2026-06-24,Marrocos,2,0,Haiti,OK
Adailton,adailton,19,Fase de Grupos,2026-06-12,Estados Unidos,1,0,Paraguai,OK
Adailton,adailton,20,Fase de Grupos,2026-06-14,Austrália,0,1,Turquia,OK
Adailton,adailton,21,Fase de Grupos,2026-06-19,Estados Unidos,2,1,Austrália,OK
Adailton,adailton,22,Fase de Grupos,2026-06-20,Turquia,1,0,Paraguai,OK
Adailton,adailton,23,Fase de Grupos,2026-06-25,Turquia,1,1,Estados Unidos,OK
Adailton,adailton,24,Fase de Grupos,2026-06-25,Paraguai,1,0,Austrália,OK
Adailton,adailton,25,Fase de Grupos,2026-06-14,Alemanha,4,0,Curaçau,OK
Adailton,adailton,26,Fase de Grupos,2026-06-14,Costa do Marfim,1,0,Equador,OK
Adailton,adailton,27,Fase de Grupos,2026-06-20,Alemanha,2,0,Costa do Marfim,OK
Adailton,adailton,28,Fase de Grupos,2026-06-20,Equador,2,0,Curaçau,OK
Adailton,adailton,29,Fase de Grupos,2026-06-25,Curaçau,0,2,Costa do Marfim,OK
Adailton,adailton,30,Fase de Grupos,2026-06-25,Equador,1,2,Alemanha,OK
Adailton,adailton,31,Fase de Grupos,2026-06-14,Países Baixos,2,1,Japão,OK
Adailton,adailton,32,Fase de Grupos,2026-06-14,Suécia,2,0,Tunísia,OK
Adailton,adailton,33,Fase de Grupos,2026-06-20,Países Baixos,2,0,Suécia,OK
Adailton,adailton,34,Fase de Grupos,2026-06-21,Tunísia,0,2,Japão,OK
Adailton,adailton,35,Fase de Grupos,2026-06-25,Japão,0,1,Suécia,OK
Adailton,adailton,36,Fase de Grupos,2026-06-25,Tunísia,0,2,Países Baixos,OK
Adailton,adailton,37,Fase de Grupos,2026-06-15,Bélgica,2,0,Egito,OK
Adailton,adailton,38,Fase de Grupos,2026-06-15,Irã,2,0,Nova Zelândia,OK
Adailton,adailton,39,Fase de Grupos,2026-06-21,Bélgica,3,0,Irã,OK
Adailton,adailton,40,Fase de Grupos,2026-06-21,Nova Zelândia,1,2,Egito,OK
Adailton,adailton,41,Fase de Grupos,2026-06-27,Egito,1,0,Irã,OK
Adailton,adailton,42,Fase de Grupos,2026-06-27,Nova Zelândia,0,2,Bélgica,OK
Adailton,adailton,43,Fase de Grupos,2026-06-15,Espanha,3,0,Cabo Verde,OK
Adailton,adailton,44,Fase de Grupos,2026-06-15,Arábia Saudita,0,3,Uruguai,OK
Adailton,adailton,45,Fase de Grupos,2026-06-21,Espanha,3,0,Arábia Saudita,OK
Adailton,adailton,46,Fase de Grupos,2026-06-21,Uruguai,2,0,Cabo Verde,OK
Adailton,adailton,47,Fase de Grupos,2026-06-26,Cabo Verde,1,1,Arábia Saudita,OK
Adailton,adailton,48,Fase de Grupos,2026-06-26,Uruguai,1,2,Espanha,OK
Adailton,adailton,49,Fase de Grupos,2026-06-16,França,2,0,Senegal,OK
Adailton,adailton,50,Fase de Grupos,2026-06-16,Iraque,0,1,Noruega,OK
Adailton,adailton,51,Fase de Grupos,2026-06-22,França,0,2,Iraque,OK
Adailton,adailton,52,Fase de Grupos,2026-06-22,Noruega,0,1,Senegal,OK
Adailton,adailton,53,Fase de Grupos,2026-06-26,Noruega,1,2,França,OK
Adailton,adailton,54,Fase de Grupos,2026-06-26,Senegal,1,0,Iraque,OK
Adailton,adailton,55,Fase de Grupos,2026-06-16,Argentina,2,1,Argélia,OK
Adailton,adailton,56,Fase de Grupos,2026-06-17,Áustria,2,0,Jordânia,OK
Adailton,adailton,57,Fase de Grupos,2026-06-22,Argentina,2,0,Áustria,OK
Adailton,adailton,58,Fase de Grupos,2026-06-23,Jordânia,1,2,Argélia,OK
Adailton,adailton,59,Fase de Grupos,2026-06-27,Argélia,0,2,Áustria,OK
Adailton,adailton,60,Fase de Grupos,2026-06-27,Jordânia,0,3,Argentina,OK
Adailton,adailton,61,Fase de Grupos,2026-06-17,Portugal,2,0,RD Congo,OK
